County,Year,Population
Bronx,2002,1325890
Broome,2002,202449
Cattaraugus,2002,84756
Cayuga,2002,82745
Chautauqua,2002,141084
Chemung,2002,91939
Chenango,2002,51891
Clinton,2002,80656
Columbia,2002,63696
Cortland,2002,49062
Delaware,2002,48513
Dutchess,2002,282823
Erie,2002,959333
Essex,2002,39222
Franklin,2002,51622
Fulton,2002,55598
Genesee,2002,60946
Greene,2002,48655
Hamilton,2002,5431
Herkimer,2002,65041
Jefferson,2002,112804
Kings,2002,2538594
Lewis,2002,27201
Livingston,2002,64942
Madison,2002,70104
Monroe,2002,742360
Montgomery,2002,50183
Nassau,2002,1347279
New York,2002,1641192
Niagara,2002,221944
Oneida,2002,237716
Onondaga,2002,462710
Ontario,2002,101181
Orange,2002,344624
Orleans,2002,44592
Oswego,2002,123545
Otsego,2002,62265
Putnam,2002,96658
Queens,2002,2158613
Rensselaer,2002,153993
Richmond,2002,420404
Rockland,2002,289489
Saratoga,2002,202550
Schenectady,2002,147953
Schoharie,2002,31884
Schuyler,2002,19407
Seneca,2002,33661
Steuben,2002,99668
St Lawrence,2002,112999
Suffolk,2002,1432913
Sullivan,2002,74672
Tioga,2002,52278
Tompkins,2002,97422
Ulster,2002,179445
Warren,2002,63907
Washington,2002,61624
Wayne,2002,94660
Westchester,2002,932270
Wyoming,2002,43838
Yates,2002,24856
Albany,2001,295107
Allegany,2001,50019
Bronx,2001,1315775
Broome,2001,200905
Cattaraugus,2001,84109
Cayuga,2001,82114
Chautauqua,2001,140007
Chemung,2001,91238
Chenango,2001,51496
Clinton,2001,80041
Columbia,2001,63210
Cortland,2001,48688
Delaware,2001,48143
Dutchess,2001,280666
Erie,2001,952014
Essex,2001,38922
Franklin,2001,51228
Fulton,2001,55174
Genesee,2001,60481
Greene,2001,48284
Hamilton,2001,5389
Herkimer,2001,64546
Jefferson,2001,111944
Kings,2001,2519228
Lewis,2001,26994
Livingston,2001,64446
Madison,2001,69569
Monroe,2001,736696
Montgomery,2001,49799
Nassau,2001,1337000
New York,2001,1628673
Niagara,2001,220251
Oneida,2001,235902
Onondaga,2001,459179
Ontario,2001,100408
Orange,2001,341995
Orleans,2001,44252
Oswego,2001,122602
Otsego,2001,61789
Putnam,2001,95921
Queens,2001,2142146
Rensselaer,2001,152819
Richmond,2001,417196
Rockland,2001,287281
Saratoga,2001,201004
Schenectady,2001,146825
Schoharie,2001,31640
Schuyler,2001,19259
Seneca,2001,33403
Steuben,2001,98908
St. Lawrence,2001,112137
Suffolk,2001,1421981
Sullivan,2001,74102
Tioga,2001,51879
Tompkins,2001,96679
Ulster,2001,178076
Warren,2001,63419
Washington,2001,61154
Wayne,2001,93938
Westchester,2001,925158
Wyoming,2001,43504
Yates,2001,24666
Albany,2000,304521
Allegany,2000,52720
Bronx,2000,1270428
Broome,2000,203614
Cattaraugus,2000,88097
Cayuga,2000,85205
Chautauqua,2000,143321
Chemung,2000,95670
Chenango,2000,52877
Clinton,2000,83139
Columbia,2000,65702
Cortland,2000,50063
Delaware,2000,48349
Dutchess,2000,279733
Erie,2000,965641
Essex,2000,39114
Franklin,2000,50590
Fulton,2000,55116
Genesee,2000,63061
Greene,2000,50420
Hamilton,2000,5412
Herkimer,2000,66069
Jefferson,2000,114631
Kings,2000,2432404
Lewis,2000,28459
Livingston,2000,68673
Madison,2000,74175
Monroe,2000,742951
Montgomery,2000,52528
Nassau,2000,1360988
New York,2000,1572542
Niagara,2000,225428
Oneida,2000,239559
Onondaga,2000,475767
Ontario,2000,104068
Orange,2000,348522
Orleans,2000,46952
Oswego,2000,129184
Otsego,2000,63217
Putnam,2000,98909
Queens,2000,2068318
Rensselaer,2000,157936
Richmond,2000,402819
Rockland,2000,296194
Saratoga,2000,208293
Schenectady,2000,150037
Schoharie,2000,33424
Schuyler,2000,20053
Seneca,2000,33293
