County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Steuben,2010,95252,1837,164,1673,8
St Lawrence,2010,108273,2482,141,2341,14
Suffolk,2010,1511183,32638,2377,30261,542
Sullivan,2010,75137,1708,219,1489,18
Tioga,2010,49341,600,36,564,6
Tompkins,2010,101158,2505,120,2385,14
Ulster,2010,179764,3839,408,3431,40
Warren,2010,65549,1297,99,1198,4
Washington,2010,62227,884,93,791,12
Wayne,2010,90027,1966,169,1797,14
Westchester,2010,948303,15392,2457,12935,347
Wyoming,2010,40743,476,33,443,6
Yates,2010,24182,474,18,456,1
Albany,2009,298400,10613,1289,9324,191
Allegany,2009,49605,776,129,647,5
Bronx,2009,1398093,33755,11242,22513,0
Broome,2009,194381,6171,458,5713,56
Cattaraugus,2009,77397,1855,184,1671,14
Cayuga,2009,79569,1660,186,1474,20
Chautauqua,2009,133112,3597,256,3341,23
Chemung,2009,87431,2126,161,1965,22
Chenango,2009,50830,997,53,944,7
Clinton,2009,82153,1698,133,1565,4
Columbia,2009,61871,1180,113,1067,17
Cortland,2009,48257,1084,106,978,6
Delaware,2009,45075,754,69,685,7
Dutchess,2009,294145,6095,909,5186,120
Erie,2009,905273,32656,4915,27741,1331
Essex,2009,36495,520,49,471,2
Franklin,2009,50448,937,65,872,8
Fulton,2009,54912,1522,112,1410,18
Genesee,2009,57420,1497,92,1405,12
Greene,2009,49071,851,102,749,11
Hamilton,2009,4980,51,2,49,0
Herkimer,2009,61943,1369,168,1201,9
Jefferson,2009,118766,2701,224,2477,28
Kings,2009,2567968,55816,15803,40013,0
Lewis,2009,26082,387,23,364,2
Livingston,2009,63003,998,69,929,9
Madison,2009,69784,1320,59,1261,8
Monroe,2009,731849,25856,2598,23258,785
Montgomery,2009,48557,726,131,595,10
Nassau,2009,1352956,21828,2496,19332,453
New York,2009,1642066,52899,8710,44189,0
Niagara,2009,213831,7173,847,6326,135
Oneida,2009,231141,6565,644,5921,136
Onondaga,2009,451917,13397,1675,11722,301
Ontario,2009,104919,1870,139,1731,25
Orange,2009,383829,8766,942,7824,127
Orleans,2009,41904,1266,71,1195,8
Oswego,2009,121238,2789,176,2613,20
Otsego,2009,61976,1201,140,1061,8
Putnam,2009,99574,963,85,878,5
Queens,2009,2303205,38925,9299,29626,0
Rensselaer,2009,155511,4809,513,4296,96
Richmond,2009,489575,6962,1303,5659,0
Rockland,2009,299944,4988,473,4515,60
Saratoga,2009,218936,2923,173,2750,15
Schenectady,2009,151942,5830,652,5178,129
